step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,1489,1,0.3914756303741922,0.0,0.7830045523520486
2,3194,2,0.7180314961868446,0.0,0.6259842519685039
3,4523,3,0.45546047174997417,0.0,0.724907063197026
4,6124,4,0.6907377360602512,0.0,0.6520051746442432
5,7389,5,0.3998425327728387,0.0,0.7047619047619048
6,9070,6,0.26692676175360464,0.0,0.8671586715867159
7,10575,7,0.4719441137192785,0.0,0.7507082152974505
8,11648,8,0.548383929657182,0.0,0.6899563318777293
9,13265,9,0.4126904756021905,0.0,0.7751004016064257
10,15026,10,0.49351701446193563,0.0,0.756601607347876
11,16355,11,0.4006498608832681,0.0,0.630272952853598
12,17548,12,0.37737400380497443,0.0,0.7061611374407583
13,18669,13,0.4007035768255214,0.0,0.754424778761062
14,19958,14,0.4172834930544946,0.0,0.7445742904841403
15,21167,15,0.5237689070739234,0.0,0.6680080482897385
16,22432,16,0.3790993921251421,0.0,0.7662082514734774
17,23561,17,0.6144903381329979,0.0,0.6038961038961039
18,25026,18,0.49729117408711193,0.0,0.6945392491467577
19,26299,19,0.38072441898139386,0.0,0.7774086378737541
20,27748,20,0.4157788456331069,0.0,0.7179054054054054
21,29173,21,0.5519680794767284,0.0,0.6853252647503782
22,30790,22,0.38411515506404104,0.0,0.7986666666666666
23,32207,23,0.31762405126182247,0.0,0.8064516129032258
24,33168,24,0.44617012196130607,0.0,0.7421686746987952
25,34881,25,0.3956760576326858,0.0,0.7995198079231692
26,36442,26,0.39788780227649606,0.0,0.7827763496143959
27,37803,27,0.3841268934453174,0.0,0.7727975270479135
28,39036,28,0.36382464886734506,0.0,0.7789473684210526
29,40381,29,0.38320073521618897,0.0,0.7874015748031497
30,41942,30,0.6045370496544948,0.0,0.6595744680851063
31,42999,31,0.35308730758403006,0.0,0.7983706720977597
32,43992,32,0.3896643443980221,0.0,0.7304347826086957
33,45321,33,0.3496497682554789,0.0,0.787052810902896
34,46826,34,0.44906289946907557,0.0,0.7521246458923513
35,48123,35,0.4157335183248552,0.0,0.6252927400468384
36,49660,36,0.2937266042709318,0.0,0.8311258278145696
37,51141,37,0.33629710067471813,0.0,0.8073959938366718
38,52462,38,0.3825341153331326,0.0,0.6839506172839506
39,53639,39,0.21582189070986402,0.0,0.740484429065744
40,55208,40,0.273574056412436,0.0,0.8223495702005731
41,56425,41,0.5228756560379186,0.0,0.685370741482966
42,57850,42,0.41125432121738603,0.0,0.7326732673267327
43,58955,43,0.4090343384861871,0.0,0.7696629213483146
44,60220,44,0.41612985320444074,0.0,0.6619047619047619
45,60933,45,0.43562870833109,0.0,0.738255033557047
46,62310,46,0.3616214636365344,0.0,0.774597495527728
47,63407,47,0.37859648668847384,0.0,0.6925133689839572
48,64848,48,0.2542785486032398,0.0,0.8682719546742209
49,66313,49,0.3727241457080563,0.0,0.7809667673716012
50,67954,50,0.566599780614615,0.0,0.7091121495327103
51,69387,51,0.4760684319700685,0.0,0.7064220183486238
52,70508,52,0.3186365076936657,0.0,0.8123861566484517
53,72069,53,0.3706532253644098,0.0,0.702247191011236
54,73638,54,0.5678400157870864,0.0,0.7259073842302879
55,75287,55,0.40585637374218136,0.0,0.7460732984293194
56,76640,56,0.3372428555138463,0.0,0.7635270541082164
57,78121,57,0.35544885507678914,0.0,0.7132216014897579
58,79234,58,0.35644790785249475,0.0,0.7666666666666667
59,80723,59,0.31056407246342765,0.0,0.792332268370607
60,82004,60,0.5057482091805823,0.0,0.7184801381692574
61,83365,61,0.3733130776419236,0.0,0.7836166924265843
62,84710,62,0.46514795401269193,0.0,0.7145299145299145
63,85815,63,0.24521099740986638,0.0,0.7878787878787878
64,87224,64,0.47252590385231735,0.0,0.7275449101796407
65,88865,65,0.542248126124868,0.0,0.7184822521419829
66,90058,66,0.3682275145734868,0.0,0.7808988764044944
67,91651,67,0.2816350604113482,0.0,0.8038922155688623
68,93620,68,0.5853478351778374,0.0,0.7121057985757884
69,94813,69,0.32615900570057454,0.0,0.8208661417322834
70,96230,70,0.4212256410549416,0.0,0.6822810590631364
71,97791,71,0.3542537630184893,0.0,0.7626262626262627
72,99296,72,0.37135282666074,0.0,0.7894002789400278
73,100545,73,0.3768821753218807,0.0,0.7558139534883721
74,102154,74,0.5159289045170359,0.0,0.7093023255813954
75,103379,75,0.49681935876978217,0.0,0.6916058394160584
76,104924,76,0.4091680531702429,0.0,0.7625178826895566
77,106325,77,0.48478600754039797,0.0,0.7424460431654676
78,107790,78,0.3702183493102505,0.0,0.7330827067669173
79,108775,79,0.4135517483204039,0.0,0.7177615571776156
80,110400,80,0.5256935154951309,0.0,0.6666666666666666
81,111681,81,0.5259075830273449,0.0,0.680373831775701
82,112810,82,0.4204995932318964,0.0,0.7722222222222223
83,114387,83,0.28656765939081186,0.0,0.8302425106990015
84,115612,84,0.35534200224741475,0.0,0.7619893428063943
85,116989,85,0.39674236600895896,0.0,0.7949080622347949
86,118758,86,0.3598609252942832,0.0,0.7874692874692875
87,120439,87,0.4271590366593957,0.0,0.7496688741721854
88,121656,88,0.3336903576212697,0.0,0.790990990990991
89,122769,89,0.4654766144135548,0.0,0.7073684210526315
90,124058,90,0.6146756596476378,0.0,0.6171428571428571
91,125411,91,0.3947784450298365,0.0,0.75
92,126836,92,0.47304871639677387,0.0,0.6882255389718076
93,128437,93,0.4160954709576714,0.0,0.7360703812316716
94,130166,94,0.4428724766106355,0.0,0.7084592145015106
95,131575,95,0.32859756170794246,0.0,0.8044444444444444
96,133192,96,0.4858980298654244,0.0,0.6858877086494689
97,134185,97,0.32108532442746335,0.0,0.837782340862423
98,135890,98,0.5587272831058574,0.0,0.702557200538358
99,137035,99,0.4807307451850293,0.0,0.6963562753036437
100,138100,100,0.3549729528832847,0.0,0.7780082987551867
101,139253,101,0.30794980040199216,0.0,0.8047882136279927
102,140590,102,0.4155094663573619,0.0,0.6768558951965066
103,142063,103,0.49953388067367716,0.0,0.7049924357034796
104,143536,104,0.4873987460966601,0.0,0.723433242506812
105,144993,105,0.3897379500977762,0.0,0.7678018575851393
106,146370,106,0.7489829696805682,0.0,0.5899053627760252
107,147787,107,0.43212340260925197,0.0,0.7205169628432956
108,149076,108,0.31920905035140446,0.0,0.7703862660944206
109,150469,109,0.35495811097181523,0.0,0.7595419847328244
110,151774,110,0.42759263459474967,0.0,0.755632582322357
111,153415,111,0.42914997061355437,0.0,0.7609511889862328
112,154784,112,0.34369521378996104,0.0,0.8221884498480243
113,156345,113,0.5869319605123482,0.0,0.6766623207301173
114,157682,114,0.39002515516462877,0.0,0.7334710743801653
115,159179,115,0.42901036338478393,0.0,0.7496423462088698
116,160604,116,0.3732127439630818,0.0,0.7884615384615384
117,161877,117,0.48514260516203567,0.0,0.6638297872340425
118,163310,118,0.3604979107156551,0.0,0.784037558685446
119,164551,119,0.4279586011005148,0.0,0.751434034416826
120,166096,120,0.4881425797250823,0.0,0.687888198757764
121,167761,121,0.31811847700060253,0.0,0.8005082592121983
122,169466,122,0.2682817070749426,0.0,0.8304862023653088
123,171075,123,0.47308069195616265,0.0,0.7455242966751918
124,172476,124,0.3881838108236075,0.0,0.7564575645756457
125,173805,125,0.48710019838824997,0.0,0.7211538461538461
126,175374,126,0.4856859954781295,0.0,0.7145038167938931
127,176639,127,0.4498980419435403,0.0,0.7373417721518988
128,178072,128,0.13060084938989105,0.0,0.9329529243937232
129,179641,129,0.3202817299747956,0.0,0.8240506329113924
130,181322,130,0.43637679674164065,0.0,0.726790450928382
131,183051,131,0.5852750212841012,0.0,0.696590909090909
132,184364,132,0.3149106854207972,0.0,0.8206039076376554
133,185901,133,0.362954799260761,0.0,0.8135593220338984
134,187430,134,0.46295456904048,0.0,0.6978527607361963
135,188967,135,0.501849083422397,0.0,0.7203856749311295
136,190432,136,0.4945221467475755,0.0,0.6541737649063032
137,191609,137,0.34958962413605876,0.0,0.773469387755102
138,193018,138,0.4932995422074336,0.0,0.7085987261146497
139,194403,139,0.4752020826593086,0.0,0.701627486437613
140,195700,140,0.2757298783111569,0.0,0.8088803088803089
141,197365,141,0.5578337931670921,0.0,0.7222222222222222
142,199030,142,0.4342540406122871,0.0,0.7503059975520195
143,200239,143,0.457308212285942,0.0,0.6959706959706959
144,201584,144,0.4476770185610116,0.0,0.7310924369747899
145,202961,145,0.42175554366447665,0.0,0.7484472049689441
146,204538,146,0.41127813482251785,0.0,0.7593167701863354
147,206003,147,0.4069098336118398,0.0,0.7469512195121951
148,207364,148,0.31861613678559925,0.0,0.8026315789473685
149,208813,149,0.3107821835663099,0.0,0.8328220858895705
150,210318,150,0.3846901844579505,0.0,0.7601957585644372
151,211911,151,0.38586241153103756,0.0,0.7674418604651163
152,213312,152,0.41080240971212967,0.0,0.7341137123745819
153,214849,153,0.49963052566245897,0.0,0.6998635743519782
154,216498,154,0.41165669686348205,0.0,0.760752688172043
155,218163,155,0.30699287969842864,0.0,0.8347826086956521
156,219420,156,0.2982549757932478,0.0,0.8091603053435115
157,220853,157,0.31280702890947504,0.0,0.8059701492537313
158,222534,158,0.38967373919321335,0.0,0.7973300970873787
159,224047,159,0.4045518435662688,0.0,0.7609618104667609
160,225432,160,0.37453076945253033,0.0,0.8226666666666667
161,226881,161,0.43523399175428407,0.0,0.7659863945578231
162,228362,162,0.48432743423655406,0.0,0.6947535771065183
163,229771,163,0.39750669091897883,0.0,0.7642276422764228
164,231124,164,0.7522084928320816,0.0,0.6416107382550336
165,232573,165,0.33269885347057,0.0,0.8247126436781609
166,233846,166,0.40489688275707847,0.0,0.758364312267658
167,235559,167,0.4743703930358971,0.0,0.7038461538461539
168,237072,168,0.5784021221329624,0.0,0.6514032496307238
169,238681,169,0.3689225357612809,0.0,0.7145214521452146
170,240042,170,0.4333500468862225,0.0,0.7163375224416517
171,241363,171,0.39158675346767735,0.0,0.7676950998185118
172,242572,172,0.3257563085814204,0.0,0.6103448275862069
173,243997,173,0.41749828510554043,0.0,0.7432432432432432
174,245198,174,0.3778254934502551,0.0,0.8040540540540541
175,246543,175,0.24610778457643817,0.0,0.865625
176,247808,176,0.3487252582351707,0.0,0.7968476357267951
177,249049,177,0.5353733754611548,0.0,0.7342549923195084
178,250674,178,0.4033762691919225,0.0,0.7565217391304347
179,251995,179,0.30787857997391743,0.0,0.7845528455284553
180,253204,180,0.3353952627805344,0.0,0.7241379310344828
181,254317,181,0.368463806686295,0.0,0.7645833333333333
182,255942,182,0.39711995702545394,0.0,0.7733333333333333
183,257367,183,0.45991651056738764,0.0,0.7393767705382436
184,258696,184,0.3260820644819059,0.0,0.7736220472440944
185,259833,185,0.43164735843663476,0.0,0.7445544554455445
186,261394,186,0.3048923612236642,0.0,0.8335588633288228
187,262515,187,0.3781992370634352,0.0,0.6615853658536586
188,264012,188,0.39865274584956795,0.0,0.7179930795847751
189,265373,189,0.4795118374970445,0.0,0.7115044247787611
190,266742,190,0.5042585397916752,0.0,0.7261904761904762
191,268167,191,0.38303527169468643,0.0,0.718052738336714
192,269584,192,0.48726273273001025,0.0,0.718944099378882
193,270585,193,0.3296074601727727,0.0,0.7549857549857549
194,272242,194,0.3354102438876692,0.0,0.8064935064935065
195,273395,195,0.5116049757877534,0.0,0.7336683417085427
196,274260,196,0.4154404804560167,0.0,0.6884272997032641
197,275773,197,0.3933604305789739,0.0,0.7411764705882353
198,277166,198,0.4158953790560223,0.0,0.7560606060606061
199,278471,199,0.3972456535823555,0.0,0.7223382045929019
200,279976,200,0.5107536123519287,0.0,0.6992481203007519
201,281625,201,0.4075892803147557,0.0,0.7722371967654986
202,283138,202,0.5011128763058693,0.0,0.6938775510204082
203,284643,203,0.2924947513408824,0.0,0.8345428156748912
204,286268,204,0.23591919334060585,0.0,0.8602287166454892
205,287717,205,0.34102638685869746,0.0,0.7754491017964071
206,289102,206,0.3185305609626138,0.0,0.808130081300813
207,290407,207,0.4220791407435434,0.0,0.7375886524822695
208,291632,208,0.4558026170450423,0.0,0.7277992277992278
209,293017,209,0.37384324052481877,0.0,0.7712609970674487
210,293994,210,0.5100620536006512,0.0,0.7196467991169978
211,295707,211,0.32710821655616584,0.0,0.7916137229987293
212,297516,212,0.39480308956121,0.0,0.7487864077669902
213,298781,213,0.35173943130597946,0.0,0.7088305489260143
214,300030,214,0.4625739882555421,0.0,0.7411003236245954
215,301575,215,0.4752808479627144,0.0,0.7425068119891008
216,302824,216,0.30717142620700905,0.0,0.7074626865671642
217,304241,217,0.2591007930696662,0.0,0.8452012383900929
218,305570,218,0.2904426632532531,0.0,0.7707006369426752
219,307131,219,0.3858445427415108,0.0,0.7874015748031497
220,308172,220,0.3087523122092473,0.0,0.7746478873239436
221,309541,221,0.411015801295749,0.0,0.7893982808022922
222,310718,222,0.3460057100011321,0.0,0.7892644135188867
223,312063,223,0.36054694665197784,0.0,0.7370600414078675
224,313704,224,0.5095266175068289,0.0,0.7282741738066095
225,315177,225,0.474293840092297,0.0,0.6804511278195489
226,316610,226,0.4014127283906359,0.0,0.7152899824253075
227,317859,227,0.24348425314143882,0.0,0.5913978494623656
228,319244,228,0.29221573345168356,0.0,0.7758985200845666
229,320349,229,0.28757483739271866,0.0,0.8355140186915888
230,321662,230,0.34698271742332915,0.0,0.7747899159663866
231,322887,231,0.27931808733094815,0.0,0.7929515418502202
232,324456,232,0.31861122111929435,0.0,0.8130718954248366
233,325913,233,0.39910917761925396,0.0,0.7578347578347578
234,327314,234,0.29502959065819867,0.0,0.8204334365325078
235,328619,235,0.45098017227073334,0.0,0.6968085106382979
236,330020,236,0.5276243933399786,0.0,0.6639209225700164
237,331061,237,0.3985671262267954,0.0,0.7874762808349146
238,332758,238,0.3163258130623628,0.0,0.8243559718969555
239,334255,239,0.42032282883004446,0.0,0.7906683480453972
240,335952,240,0.20573058771549427,0.0,0.8605577689243028
241,337377,241,0.25739579700162885,0.0,0.8336
242,338794,242,0.46334417169473807,0.0,0.7103559870550162
243,340483,243,0.4137253589595312,0.0,0.7493734335839599
244,341636,244,0.3211086816831885,0.0,0.7760869565217391
245,343205,245,0.502658305688013,0.0,0.6928675400291121
246,344462,246,0.3419488789468838,0.0,0.8033057851239669
247,345679,247,0.3056500120437555,0.0,0.8232044198895028
248,347536,248,0.4441098716687232,0.0,0.7620064034151548
249,348793,249,0.2974610905952386,0.0,0.794921875
250,350034,250,0.4799185545203058,0.0,0.7488226059654631
251,351571,251,0.35290226021717885,0.0,0.7980501392757661
252,352684,252,0.347073774857205,0.0,0.7832310838445807
253,353837,253,0.3103675048089295,0.0,0.7760814249363868
254,355382,254,0.41168709486595495,0.0,0.7489655172413793
255,356887,255,0.34041401125168413,0.0,0.7462962962962963
