step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,817,1,0.5576309387547184,0.0,0.640926640926641,0.3945150871663528,0.0,0.7448559670781894
2,2522,2,0.8736257297578075,0.0,0.5578406169665809,,,
3,3771,3,0.8197793256234506,0.0,0.5391459074733096,,,
4,4868,4,0.6790076916235886,0.0,0.6770642201834862,,,
5,5877,5,0.7571610994449139,0.0,0.6058558558558559,,,
6,6798,6,1.4254196205493284,0.0,0.5255813953488372,,,
7,8111,7,0.6030385958800907,0.0,0.6525573192239859,,,
8,9224,8,0.6419341842138088,0.0,0.6953405017921147,,,
9,10065,9,0.6072019722682533,0.0,0.719047619047619,0.6645788584219122,0.0,0.6400911161731208
10,11610,10,0.6550894837979678,0.0,0.7352572145545797,,,
11,12291,11,0.4133025970917974,0.0,0.6801801801801802,,,
12,13476,12,0.7876875923878519,0.0,0.6292335115864528,,,
13,14685,13,1.0077877072652919,0.0,0.5460030165912518,,,
14,15510,14,0.28026084226826703,0.0,0.6071428571428571,,,
15,16831,15,0.7504730753483212,0.0,0.671830985915493,,,
16,18584,16,0.5920764199796982,0.0,0.626193724420191,,,
17,19865,17,0.7568644381572915,0.0,0.5454545454545454,0.4440126418358942,0.0,0.6481113320079522
18,21818,18,0.7235894753023366,0.0,0.6360824742268041,,,
19,22371,19,0.7582829442325213,0.0,0.662962962962963,,,
20,24340,20,0.4578665391880131,0.0,0.71760391198044,,,
21,26325,21,0.4293538650293248,0.0,0.8208469055374593,,,
22,28006,22,0.6212037041674949,0.0,0.567062818336163,,,
23,29111,23,0.14263812140543608,0.0,0.6309523809523809,,,
24,30096,24,0.7133697057801915,0.0,0.6601178781925344,,,
25,31169,25,0.5434839791549666,0.0,0.7212806026365348,0.5954693926804261,0.0,0.6737891737891738
26,33098,26,0.35752981626576075,0.0,0.7288629737609329,,,
27,34155,27,0.7905825068858727,0.0,0.6338289962825279,,,
28,35796,28,0.5243504536150997,0.0,0.7080103359173127,,,
29,36925,29,0.14057308538713417,0.0,0.5,,,
30,37902,30,0.9659297868669571,0.0,0.574468085106383,,,
31,39647,31,0.16451599988428844,0.0,0.9173913043478261,,,
32,41456,32,0.2962152175055511,0.0,0.8333333333333334,,,
33,43185,33,0.5072632714243448,0.0,0.6637931034482759,0.6264922967153767,0.0,0.672
34,44898,34,0.5316606836602495,0.0,0.6539027982326951,,,
35,46211,35,0.4243838013175431,0.0,0.5141843971631206,,,
36,48116,36,0.45643518260466653,0.0,0.6103678929765887,,,
37,48789,37,0.8061801964811949,0.0,0.597667638483965,,,
38,49926,38,0.17021138437331465,0.0,0.6554621848739496,,,
39,51295,39,0.3633835460781691,0.0,0.75,,,
40,52624,40,0.6239949306846059,0.0,0.656298600311042,,,
41,53345,41,0.04114391096993535,0.0,0.0,0.8347724499766604,0.0,0.5842812823164426
42,54466,42,0.5860053925211025,0.0,0.6684027777777778,,,
43,55851,43,0.7845741497995682,0.0,0.5572139303482587,,,
44,57868,44,0.21333494057095737,0.0,0.9220085470085471,,,
45,59613,45,0.5633346472496238,0.0,0.7146496815286624,,,
46,60118,46,1.4448186107381333,0.0,0.5446009389671361,,,
47,61199,47,0.5312715443691651,0.0,0.6769825918762089,,,
48,62272,48,0.5939467269320233,0.0,0.694331983805668,,,
49,63465,49,0.5323856520894098,0.0,0.6027397260273972,0.7699007315722289,0.0,0.631578947368421
50,63922,50,1.2793237531652422,0.0,0.5525423728813559,,,
51,65419,51,0.68129819683541,0.0,0.5920245398773006,,,
52,66452,52,0.6632677351883698,0.0,0.6486486486486487,,,
53,67605,53,0.7240675256392984,0.0,0.6280701754385964,,,
54,68902,54,0.5923504131356563,0.0,0.6255060728744939,,,
55,70343,55,0.4384113277960307,0.0,0.7325383304940375,,,
